LATITUDE,LONGITUDE
38.9191663316494,-77.0128458583199
38.9191663316494,-77.0128458583199
38.830803418044,-77.007681853066
38.830803418044,-77.007681853066
38.917550178367,-77.0319524841605
38.917550178367,-77.0319524841605
38.9080237161488,-76.9985011663422
38.9080237161488,-76.9985011663422
38.8840770766873,-76.9762456965894
38.8840770766873,-76.9762456965894
38.8456554359531,-76.9727796170094
38.8456554359531,-76.9727796170094
38.830803418044,-77.007681853066
38.9076684722523,-77.0716093110627
38.9076684722523,-77.0716093110627
38.9564054265475,-77.0211017504612
38.9564054265475,-77.0211017504612
38.9025150199087,-77.0327988657072
38.9025150199087,-77.0327988657072
38.9256280622553,-77.0403055156837
38.9256280622553,-77.0403055156837
38.9256280622553,-77.0403055156837
38.9028507783038,-77.0510719379467
38.9028507783038,-77.0510719379467
38.9626917660413,-77.0278996902324
38.9626917660413,-77.0278996902324
38.9171349645118,-76.9651418990886
38.9171349645118,-76.9651418990886
38.9172816475171,-76.9751161311319
38.927715347065,-76.9882943362743
38.888170582807,-76.9575256513697
38.9215048581191,-77.0722920419754
38.9254187159987,-76.9952371592061
38.9311372534346,-77.0207252091942
38.916992466081,-77.0288619423029
38.9291102614069,-77.0214050611093
38.9142116212605,-76.986036576557
38.8991214156494,-77.0219263529351
38.916992466081,-77.0288619423029
38.8438820428946,-76.9789199901844
38.9025854892833,-77.0596144500982
38.8707337793903,-76.9683796109758
38.9318816589512,-77.0346000432156
38.9540981113833,-77.0269387603379
38.9216186302989,-77.0423674218744
38.9291102614069,-77.0214050611093
38.9376028811339,-77.0312232775125
38.8319747532031,-77.0020385461711
38.901312012379,-76.989278583444
38.9099253533731,-77.0436172239794
38.8264525261636,-77.0035930916389
38.9507249518236,-77.0767401167419
38.9222116506408,-76.9931501205792
38.9260018251246,-77.0243102920299
38.8897996158178,-76.9932108652129
38.9241072582696,-77.0353573890388
38.9024636597329,-76.9494817116736
38.9155670077915,-77.0365177567921
38.896473109057,-76.9177849823978
38.9265019717987,-77.0400061652061
38.9144641257248,-76.988527121802
38.9630881165386,-77.0706726912371
38.8954646110383,-76.9814868992205
38.879583408512,-76.9855132077796
38.9142116212605,-76.986036576557
38.9615303947054,-77.0694942554587
38.8557165266002,-76.967568269531
38.958875536006,-77.0036920689482
38.8637918557026,-76.9870258402432
38.8541710084736,-76.9884331254766
38.9103854858042,-77.0416804867511
38.9052554414418,-77.0523533835816
38.9052566974471,-77.0494711234499
38.908379324755,-77.0332627442844
38.904203550449,-77.0121860179538
38.945840616156,-76.998385015187
38.938144962309,-77.0245912572209
38.8345865810507,-76.9877452402576
38.9428585718913,-76.9914409385114
38.9085702254889,-77.0265180298085
38.9062307609271,-77.0466471446724
38.952253895863,-76.9879211340369
38.9214196586828,-76.9555108714918
38.888393995378,-76.9890730509547
38.9325767946844,-77.0291104532901
38.9099253533731,-77.0436172239794
38.9115915227499,-76.9360081261404
38.9466061357423,-77.0067599375997
38.9413319006602,-77.0327359795519
38.9302563815246,-77.0916419054284
38.954079671973,-77.0287154420849
38.9563622244631,-76.996100389682
38.8814657791873,-76.9827006771625
